time,epoch,step,phase,lossD,lossG,g_gan,g_spec,r1,lrG,lrD,delta_scale,inst_sigma,evasion,val_evasion
1761495822,23,12100,train,-4.76837158203125e-07,0.0009390940540470183,0.0009264945983886719,1.2599444744409993e-05,2.5957771043749744e-08,3.125e-06,4.6875e-06,0.01,0.02,0.0,nan
1761495874,23,12200,train,9.5367431640625e-07,0.0009920760057866573,0.0009851455688476562,6.93037873134017e-06,1.2724750142467656e-08,3.125e-06,4.6875e-06,0.01,0.02,0.0,nan
1761495881,23,12200,train,9.5367431640625e-07,0.0009920760057866573,0.0009851455688476562,6.93037873134017e-06,1.2724750142467656e-08,3.125e-06,4.6875e-06,0.01,0.02,0.0,nan
1761495899,23,12200,train,9.5367431640625e-07,0.0009920760057866573,0.0009851455688476562,6.93037873134017e-06,1.2724750142467656e-08,3.125e-06,4.6875e-06,0.01,0.02,0.0,nan
1761495902,23,12200,train,9.5367431640625e-07,0.0009920760057866573,0.0009851455688476562,6.93037873134017e-06,1.2724750142467656e-08,3.125e-06,4.6875e-06,0.01,0.02,0.0,nan
1761495953,23,12300,train,-9.5367431640625e-07,0.0009417111286893487,0.0009317398071289062,9.971347026294097e-06,2.0133795075594207e-08,3.125e-06,4.6875e-06,0.01,0.02,0.0,nan
1761495959,23,12300,train,-9.5367431640625e-07,0.0009417111286893487,0.0009317398071289062,9.971347026294097e-06,2.0133795075594207e-08,3.125e-06,4.6875e-06,0.01,0.02,0.0,nan
1761495978,23,12300,train,-9.5367431640625e-07,0.0009417111286893487,0.0009317398071289062,9.971347026294097e-06,2.0133795075594207e-08,3.125e-06,4.6875e-06,0.01,0.02,0.0,nan
1761495980,23,12300,train,-9.5367431640625e-07,0.0009417111286893487,0.0009317398071289062,9.971347026294097e-06,2.0133795075594207e-08,3.125e-06,4.6875e-06,0.01,0.02,0.0,nan
1761496031,23,12400,train,-4.76837158203125e-07,0.0009290605084970593,0.0009174346923828125,1.162580338132102e-05,2.6193772484361943e-08,3.125e-06,4.6875e-06,0.01,0.02,0.0,nan
