step,epoch,lossD,lossG,loss_gan,loss_spec,loss_fm,loss_evasion,inst_noise,delta,lambda_evasion,p_bona_mean
6700,3,-0.10093307495117188,-166.31594848632812,-173.2671661376953,6.746840476989746,0.12584927678108215,0.07851815223693848,0.010232805311000424,0.010232805311000424,0.11333333333333333,0.5005314350128174
6800,3,0.13165540993213654,-147.07101440429688,-152.59349060058594,5.325797080993652,0.11347860097885132,0.08321204781532288,0.010130982131113526,0.010130982131113526,0.12,0.500256359577179
6900,3,-0.07275772094726562,-141.3473358154297,-147.21463012695312,5.672667503356934,0.10676860064268112,0.08785378187894821,0.010030172159203056,0.010030172159203056,0.12666666666666668,0.49986201524734497
7000,3,-0.10543060302734375,-183.59840393066406,-189.09242248535156,5.272144317626953,0.12945127487182617,0.09242697060108185,0.009930365313179597,0.009930365313179597,0.13333333333333333,0.5004003047943115
7100,3,-0.15116500854492188,-165.59071350097656,-171.91378784179688,6.1107401847839355,0.11461673676967621,0.09771709889173508,0.009831551611277196,0.009831551611277196,0.14,0.4989296793937683
7200,3,0.09658357501029968,-167.40475463867188,-172.68093872070312,5.053098678588867,0.12152431905269623,0.10156726837158203,0.009733721171055082,0.009733721171055082,0.14666666666666667,0.49979904294013977
7300,3,-0.10868072509765625,-155.96328735351562,-161.48316955566406,5.303650856018066,0.10995304584503174,0.10627859085798264,0.009636864208409293,0.009636864208409293,0.15333333333333332,0.5001368522644043
7400,3,-0.15832901000976562,-154.16050720214844,-160.31826782226562,5.930712699890137,0.11636793613433838,0.11069079488515854,0.009540971036594173,0.009540971036594173,0.16,0.5003141760826111
7500,3,-0.1190032958984375,-172.07919311523438,-177.77484130859375,5.4693922996521,0.11090174317359924,0.11536337435245514,0.009446032065253592,0.009446032065253592,0.16666666666666666,0.5006494522094727
7600,3,0.07152718305587769,-179.803466796875,-185.45196533203125,5.4205546379089355,0.11933062970638275,0.10862019658088684,0.009352037799461808,0.009352037799461808,0.17333333333333334,0.5317304134368896
7700,3,-0.08772659301757812,-162.59898376464844,-168.47598266601562,5.641878604888916,0.11174922436475754,0.12336063385009766,0.009258978838773885,0.009258978838773885,0.18,0.5031677484512329
7800,3,-0.2973823547363281,-186.31883239746094,-193.06642150878906,6.481703281402588,0.1368294060230255,0.12906312942504883,0.009166845876285482,0.009166845876285482,0.18666666666666668,0.5002126097679138
7900,3,-0.1823883056640625,-191.5103302001953,-197.23947143554688,5.460292816162109,0.13442346453666687,0.13442091643810272,0.009075629697702172,0.009075629697702172,0.19333333333333333,0.49937930703163147
8000,3,0.08196359872817993,-159.7248077392578,-165.97314453125,5.995500564575195,0.11400460451841354,0.13883477449417114,0.008985321180417815,0.008985321180417815,0.2,0.49961352348327637
8100,3,-0.08049392700195312,-169.7007293701172,-174.79885864257812,4.8472089767456055,0.10748793184757233,0.14342637360095978,0.008895911292602235,0.008895911292602235,0.20666666666666667,0.499664843082428
8200,3,-0.13108444213867188,-182.88461303710938,-188.89309692382812,5.742786884307861,0.11438119411468506,0.15131831169128418,0.00880739109229795,0.00880739109229795,0.21333333333333335,0.480715274810791
8300,3,-0.06570816040039062,-196.19505310058594,-203.0225830078125,6.557208061218262,0.11395683884620667,0.1563711017370224,0.008719751726525863,0.008719751726525863,0.22,0.4961130619049072
8400,3,0.048908770084381104,-183.86956787109375,-190.30020141601562,6.149097442626953,0.12528008222579956,0.15626761317253113,0.008632984430399874,0.008632984430399874,0.22666666666666666,0.5017340183258057
8500,3,-0.12309646606445312,-207.7041015625,-213.62771606445312,5.647956848144531,0.11437766999006271,0.16129277646541595,0.00854708052625031,0.00854708052625031,0.23333333333333334,0.500985860824585
8600,3,-0.13750076293945312,-216.50209045410156,-222.64376831054688,5.862041473388672,0.11349235475063324,0.16614001989364624,0.008462031422756021,0.008462031422756021,0.24,0.500664234161377
8700,3,-0.23581695556640625,-202.91241455078125,-209.04940795898438,5.84570837020874,0.12065210193395615,0.17063592374324799,0.008377828614085208,0.008377828614085208,0.24666666666666667,0.5005208253860474
8800,3,0.04211223125457764,-203.7169189453125,-209.19656372070312,5.2069830894470215,0.09744606912136078,0.1752205491065979,0.008294463679044716,0.008294463679044716,0.25333333333333335,0.5003972053527832
8900,3,-0.1305999755859375,-215.34756469726562,-221.22210693359375,5.560657501220703,0.13384056091308594,0.18005414307117462,0.008211928280237825,0.008211928280237825,0.26,0.5001775026321411
9000,3,-0.17812347412109375,-193.85836791992188,-200.8814697265625,6.70207405090332,0.1356217861175537,0.18540704250335693,0.00813021416323043,0.00813021416323043,0.26666666666666666,0.4993574321269989
9100,3,-0.175079345703125,-175.51710510253906,-182.63565063476562,6.808054447174072,0.12058436125516891,0.1898980587720871,0.008049313155725494,0.008049313155725494,0.2733333333333333,0.4998705983161926
9200,3,0.04113301634788513,-200.596923828125,-206.81524658203125,5.899007320404053,0.1254517138004303,0.1938580423593521,0.007969217166745791,0.007969217166745791,0.28,0.5009303092956543
9300,3,-0.1834564208984375,-200.53244018554688,-206.74612426757812,5.885395526885986,0.12914317846298218,0.1991448700428009,0.007889918185824595,0.007889918185824595,0.2866666666666667,0.49990716576576233
